,total_observations,kappa_star,size,mean_comp,KM1,KM2,KM1_error,KM2_error
0,10.0,0.4,100.0,10.0,0.420158550396376,0.4108170310701956,0.020158550396375985,0.010817031070195604
1,12.0,0.4,100.0,10.0,0.42920847268673357,0.4108170310701956,0.029208472686733544,0.010817031070195604
2,14.0,0.4,100.0,10.0,0.34777070063694265,0.3359273670557717,0.05222929936305737,0.06407263294422832
3,16.0,0.4,100.0,10.0,0.4464864864864865,0.43798024149286496,0.046486486486486456,0.03798024149286494
4,18.0,0.4,100.0,10.0,0.3808948004836759,0.3808948004836759,0.01910519951632411,0.01910519951632411
5,20.0,0.4,100.0,10.0,0.4108170310701956,0.40116959064327484,0.010817031070195604,0.0011695906432748204
6,22.0,0.4,100.0,10.0,0.4108170310701956,0.40116959064327484,0.010817031070195604,0.0011695906432748204
7,24.0,0.4,100.0,10.0,0.37023370233702335,0.37023370233702335,0.02976629766297667,0.02976629766297667
8,26.0,0.4,100.0,10.0,0.42920847268673357,0.420158550396376,0.029208472686733544,0.020158550396375985
9,28.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
10,30.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
11,32.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
12,34.0,0.4,100.0,10.0,0.3808948004836759,0.3808948004836759,0.01910519951632411,0.01910519951632411
13,36.0,0.4,100.0,10.0,0.420158550396376,0.420158550396376,0.020158550396375985,0.020158550396375985
14,38.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
15,40.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
16,42.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
17,44.0,0.4,100.0,10.0,0.3808948004836759,0.3808948004836759,0.01910519951632411,0.01910519951632411
18,46.0,0.4,100.0,10.0,0.4108170310701956,0.4108170310701956,0.010817031070195604,0.010817031070195604
19,48.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
20,50.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
21,52.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
22,54.0,0.4,100.0,10.0,0.3808948004836759,0.3912009512485137,0.01910519951632411,0.008799048751486349
23,56.0,0.4,100.0,10.0,0.4108170310701956,0.4108170310701956,0.010817031070195604,0.010817031070195604
24,58.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
25,60.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
26,62.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
27,64.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
28,66.0,0.4,100.0,10.0,0.4108170310701956,0.4108170310701956,0.010817031070195604,0.010817031070195604
29,68.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
30,70.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
31,72.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
32,74.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
33,76.0,0.4,100.0,10.0,0.40116959064327484,0.4108170310701956,0.0011695906432748204,0.010817031070195604
34,78.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
35,80.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
36,82.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
37,84.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
38,86.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
39,88.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
40,90.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
41,92.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
42,94.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
43,96.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
44,98.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
45,100.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
46,102.0,0.4,100.0,10.0,0.40116959064327484,0.40116959064327484,0.0011695906432748204,0.0011695906432748204
47,104.0,0.4,100.0,10.0,0.3912009512485137,0.3912009512485137,0.008799048751486349,0.008799048751486349
